group,attrs,packs,approx_groups_count,ml,number_entities,group_number_masked_product,material_type,optional_attrs,none_attrs,inferred_concentration,inferred_concentration_uom,inferred_packsize,inferred_packsize_uom,product,Item_Description,Item_Code,Secondary_Sales_UOM,Parent_Code,rowcd,percentage,mg,pack_size,misc,fraction,k,mg/ml,gm,liter,miu,pack_multiplier,mcg
flukem,,tablet,1,,"{'#': {'string': '2 s', 'type': 'measurement', 'number_string': (None, '2.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<attr>', '<attr>'], 'after': ['<pack>']}}, '##': {'string': '150', 'type': 'int', 'number_string': ('150.0',), 'context': {'before': ['<group>'], 'after': ['<attr>', '<attr>', '<v>#<v>', '<pack>']}}}", <group> <v>##<v> alu alu <v>#<v> tablet ,solid,,alu alu,150.0,,2.0,pack_size,FLUKEM 150 (ALU-ALU) 2'S TABLET,FLUKEM 150 (ALU-ALU) 2'S TABLET,ATBR05,,ATBR05,2023-03-23 11:09:32,,,2.0,150.0,,,,,,,,
,powerzox mr,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", powerzox mr tablet <v>#<v> ,solid,,,,,10.0,pack_size,POWERZOX MR Tablet (10'S),POWERZOX MR Tablet (10'S),ATCS11,,ATCS11,2023-03-23 11:09:32,,,10.0,,,,,,,,,
qmax,tz,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> tz tablet <v>#<v> ,solid,,,,,10.0,pack_size,QMAX TZ Tablet (10'S),QMAX TZ Tablet (10'S),ATDD21,,ATDD21,2023-03-23 11:09:32,,,10.0,,,,,,,,,
,azento,tablet,0,,"{'#': {'string': '6 s', 'type': 'measurement', 'number_string': (None, '6.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<attr>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '250', 'type': 'int', 'number_string': ('250.0',), 'context': {'before': ['<attr>'], 'after': ['<pack>', '<v>#<v>']}}}", azento <v>##<v> tablet <v>#<v> ,solid,,,,,6.0,pack_size,AZENTO 250 Tablet  (6'S),AZENTO 250 Tablet  (6'S),ATEE01,,ATEE01,2023-03-23 11:09:32,,,6.0,250.0,,,,,,,,
,azento,tablet,0,,"{'#': {'string': '3 s', 'type': 'measurement', 'number_string': (None, '3.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<attr>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '500', 'type': 'int', 'number_string': ('500.0',), 'context': {'before': ['<attr>'], 'after': ['<pack>', '<v>#<v>']}}}", azento <v>##<v> tablet <v>#<v> ,solid,,,,,3.0,pack_size,AZENTO 500 Tablet  (3'S),AZENTO 500 Tablet  (3'S),ATEE11,,ATEE11,2023-03-23 11:09:32,,,3.0,500.0,,,,,,,,
,azento,tablet,0,,"{'#': {'string': '5 s', 'type': 'measurement', 'number_string': (None, '5.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<attr>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '500', 'type': 'int', 'number_string': ('500.0',), 'context': {'before': ['<attr>'], 'after': ['<pack>', '<v>#<v>']}}}", azento <v>##<v> tablet <v>#<v> ,solid,,,,,5.0,pack_size,AZENTO-500 Tablet (5’S),AZENTO-500 Tablet (5’S),ATEE12,,ATEE12,2023-03-23 11:09:32,,,5.0,500.0,,,,,,,,
aceloflam,mr,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> mr alu alu <v>#<v> tablet ,solid,,alu alu,,,10.0,pack_size,ACELOFLAM MR (ALU-ALU)(10'S) TABLET,ACELOFLAM MR (ALU-ALU)(10'S) TABLET,ATEF22,,ATEF22,2023-03-23 11:09:32,,,10.0,,,,,,,,,
alciflox,,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>', '<attr>', '<attr>'], 'after': []}}, '##': {'string': '250', 'type': 'int', 'number_string': ('250.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<attr>', '<attr>', '<v>#<v>']}}}", <group> <v>##<v> tablet alu alu <v>#<v> ,solid,,alu alu,250.0,,10.0,pack_size,ALCIFLOX 250 Tablet ALU-ALU (10'S),ALCIFLOX 250 Tablet ALU-ALU (10'S),ATEW05,,ATEW05,2023-03-23 11:09:32,,,10.0,250.0,,,,,,,,
terbigen,,tablet,1,,"{'#': {'string': '7 s', 'type': 'measurement', 'number_string': (None, '7.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '250', 'type': 'int', 'number_string': ('250.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> <v>##<v> tablet <v>#<v> ,solid,,,250.0,,7.0,pack_size,TERBIGEN 250 Tablet (7'S),TERBIGEN 250 Tablet (7'S),ATJH02,,ATJH02,2023-03-23 11:09:32,,,7.0,250.0,,,,,,,,
alflox,,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '400', 'type': 'int', 'number_string': ('400.0',), 'context': {'before': ['<group>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> <v>##<v> tablet <v>#<v> ,solid,,,400.0,,10.0,pack_size,ALFLOX 400 Tablet (10'S),ALFLOX 400 Tablet (10'S),ATJS11,,ATJS11,2023-03-23 11:09:32,,,10.0,400.0,,,,,,,,
,emitin,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", emitin tablet <v>#<v> ,solid,,,,,10.0,pack_size,EMITIN Tablet (10'S),EMITIN Tablet (10'S),ATLC01,,ATLC01,2023-03-23 11:09:32,,,10.0,,,,,,,,,
,feripro xt,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", feripro xt tablet <v>#<v> ,solid,,,,,10.0,pack_size,FERIPRO XT TABLET (10'S),FERIPRO XT TABLET (10'S),ATLE01,,ATLE01,2023-03-23 11:09:32,,,10.0,,,,,,,,,
,p d,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<attr>', '<v>##<v>', '<attr>', '<pack>'], 'after': []}}, '##': {'string': '40', 'type': 'int', 'number_string': ('40.0',), 'context': {'before': ['<attr>'], 'after': ['<attr>', '<pack>', '<v>#<v>']}}}", p <v>##<v> d tablet <v>#<v> ,solid,,,,,10.0,pack_size,P40-D Tablet (10'S),P40-D Tablet (10'S),ATLJ01,,ATLJ01,2023-03-23 11:09:32,,,10.0,40.0,,,,,,,,
,p,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<attr>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '40', 'type': 'int', 'number_string': ('40.0',), 'context': {'before': ['<attr>'], 'after': ['<pack>', '<v>#<v>']}}}", p <v>##<v> tablet <v>#<v> ,solid,,,,,10.0,pack_size,P 40 Tablet (10'S),P 40 Tablet (10'S),ATLJ11,,ATLJ11,2023-03-23 11:09:32,,,10.0,40.0,,,,,,,,
,zuracef,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", zuracef tablet <v>#<v> ,solid,,,,,10.0,pack_size,ZURACEF Tablet (10'S),ZURACEF Tablet (10'S),ATLL01,,ATLL01,2023-03-23 11:09:32,,,10.0,,,,,,,,,
,zuracef o,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", zuracef o tablet <v>#<v> ,solid,,,,,10.0,pack_size,ZURACEF-O Tablet (10'S),ZURACEF-O Tablet (10'S),ATLL11,,ATLL11,2023-03-23 11:09:32,,,10.0,,,,,,,,,
,zuracef cv,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<attr>', '<attr>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '200', 'type': 'int', 'number_string': ('200.0',), 'context': {'before': ['<attr>', '<attr>'], 'after': ['<pack>', '<v>#<v>']}}}", zuracef cv <v>##<v> tablet <v>#<v> ,solid,,,,,10.0,pack_size,ZURACEF CV-200 Tablet (10'S),ZURACEF CV-200 Tablet (10'S),ATLL21,,ATLL21,2023-03-23 11:09:32,,,10.0,200.0,,,,,,,,
,pamagin cold flu,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", pamagin cold flu tablet <v>#<v> ,solid,,,,,10.0,pack_size,PAMAGIN COLD & FLU Tablet (10'S),PAMAGIN COLD & FLU Tablet (10'S),ATLO11,,ATLO11,2023-03-23 11:09:32,,,10.0,,,,,,,,,
,pamagin plus,tablet,0,,"{'#': {'string': '15 s', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", pamagin plus tablet <v>#<v> ,solid,,,,,15.0,pack_size,PAMAGIN PLUS Tablet (15'S),PAMAGIN PLUS Tablet (15'S),ATLO22,,ATLO22,2023-03-23 11:09:32,,,15.0,,,,,,,,,
,pamagin p,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", pamagin p tablet <v>#<v> ,solid,,,,,10.0,pack_size,PAMAGIN-P Tablet (10'S),PAMAGIN-P Tablet (10'S),ATLO31,,ATLO31,2023-03-23 11:09:32,,,10.0,,,,,,,,,
,pamagin gold,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", pamagin gold tablet <v>#<v> ,solid,,,,,10.0,pack_size,PAMAGIN GOLD Tablet (10'S),PAMAGIN GOLD Tablet (10'S),ATLO41,,ATLO41,2023-03-23 11:09:32,,,10.0,,,,,,,,,
,pamagin gold,tablet,0,,"{'#': {'string': '15 s', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", pamagin gold tablet <v>#<v> ,solid,,,,,15.0,pack_size,PAMAGIN GOLD Tablet (15'S),PAMAGIN GOLD Tablet (15'S),ATLO43,,ATLO43,2023-03-23 11:09:32,,,15.0,,,,,,,,,
,pamagin amber gold pvc,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", pamagin gold tablet <v>#<v> amber pvc ,solid,,,,,10.0,pack_size,PAMAGIN GOLD Tablet 10'S (AMBER PVC),PAMAGIN GOLD Tablet 10'S (AMBER PVC),ATLO44,,ATLO44,2023-03-23 11:09:32,,,10.0,,,,,,,,,
,pamagin sp,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", pamagin sp tablet <v>#<v> ,solid,,,,,10.0,pack_size,PAMAGIN SP Tablet (10'S),PAMAGIN SP Tablet (10'S),ATLO61,,ATLO61,2023-03-23 11:09:32,,,10.0,,,,,,,,,
,pamagin mr,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", pamagin mr tablet <v>#<v> ,solid,,,,,10.0,pack_size,PAMAGIN-MR Tablet (10'S),PAMAGIN-MR Tablet (10'S),ATLO81,,ATLO81,2023-03-23 11:09:32,,,10.0,,,,,,,,,
,pamagin total,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", pamagin total tablet <v>#<v> ,solid,,,,,10.0,pack_size,PAMAGIN TOTAL Tablet (10'S),PAMAGIN TOTAL Tablet (10'S),ATLO91,,ATLO91,2023-03-23 11:09:32,,,10.0,,,,,,,,,
,picef,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<attr>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '200', 'type': 'int', 'number_string': ('200.0',), 'context': {'before': ['<attr>'], 'after': ['<pack>', '<v>#<v>']}}}", picef <v>##<v> tablet <v>#<v> ,solid,,,,,10.0,pack_size,PICEF 200 Tablet (10'S),PICEF 200 Tablet (10'S),ATLR01,,ATLR01,2023-03-23 11:09:32,,,10.0,200.0,,,,,,,,
,picef cv,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", picef cv tablet <v>#<v> ,solid,,,,,10.0,pack_size,PICEF-CV Tablet 10'S,PICEF-CV Tablet 10'S,ATLR11,,ATLR11,2023-03-23 11:09:32,,,10.0,,,,,,,,,
,cachcal,tablet,0,,"{'#': {'string': '15 s', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", cachcal tablet <v>#<v> ,solid,,,,,15.0,pack_size,CACHCAL Tablet (15'S),CACHCAL Tablet (15'S),ATLX01,,ATLX01,2023-03-23 11:09:32,,,15.0,,,,,,,,,
,cefiloxin,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", cefiloxin tablet <v>#<v> ,solid,,,,,10.0,pack_size,CEFILOXIN Tablet (10'S),CEFILOXIN Tablet (10'S),ATMF01,,ATMF01,2023-03-23 11:09:32,,,10.0,,,,,,,,,
,cach l,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<attr>', '<attr>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '5', 'type': 'int', 'number_string': ('5.0',), 'context': {'before': ['<attr>', '<attr>'], 'after': ['<pack>', '<v>#<v>']}}}", cach l <v>##<v> tablet <v>#<v> ,solid,,,,,10.0,pack_size,CACH L-5 Tablet (10'S),CACH L-5 Tablet (10'S),ATMP01,,ATMP01,2023-03-23 11:09:32,,,10.0,5.0,,,,,,,,
,goodcet,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", goodcet tablet <v>#<v> ,solid,,,,,10.0,pack_size,GOODCET Tablet (10'S),GOODCET Tablet (10'S),ATMQ01,,ATMQ01,2023-03-23 11:09:32,,,10.0,,,,,,,,,
,cachpar,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", cachpar tablet <v>#<v> ,solid,,,,,10.0,pack_size,CACHPAR Tablet (10'S),CACHPAR Tablet (10'S),ATNB01,,ATNB01,2023-03-23 11:09:32,,,10.0,,,,,,,,,
,cachflam p,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", cachflam p tablet <v>#<v> ,solid,,,,,10.0,pack_size,CACHFLAM-P Tablet (10'S),CACHFLAM-P Tablet (10'S),ATND01,,ATND01,2023-03-23 11:09:32,,,10.0,,,,,,,,,
moxikem,cv,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '625', 'type': 'int', 'number_string': ('625.0',), 'context': {'before': ['<group>', '<attr>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> cv <v>##<v> tablet <v>#<v> ,solid,,,625.0,,10.0,pack_size,MOXIKEM - CV 625 Tablet (10'S),MOXIKEM - CV 625 Tablet (10'S),ATOW01,,ATOW01,2023-03-23 11:09:32,,,10.0,625.0,,,,,,,,
moxikem,cv,tablet,1,,"{'#': {'string': '6 s', 'type': 'measurement', 'number_string': (None, '6.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '625', 'type': 'int', 'number_string': ('625.0',), 'context': {'before': ['<group>', '<attr>'], 'after': ['<pack>', '<v>#<v>']}}}", <group> cv <v>##<v> tablet <v>#<v> ,solid,,,625.0,,6.0,pack_size,MOXIKEM-CV 625 Tablet (6’S),MOXIKEM-CV 625 Tablet (6’S),ATOW02,,ATOW02,2023-03-23 11:09:32,,,6.0,625.0,,,,,,,,
lincef,novo,,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<v>##<v>'], 'after': []}}, '##': {'string': '600', 'type': 'int', 'number_string': ('600.0',), 'context': {'before': ['<group>', '<attr>'], 'after': ['<v>#<v>']}}}", <group> novo <v>##<v> <v>#<v> ,,,,600.0,,10.0,pack_size,LINCEF NOVO 600 (10'S),LINCEF NOVO 600 (10'S),ATPO01,,ATPO01,2023-03-23 11:09:32,,,10.0,600.0,,,,,,,,
,alkemvert,tablet,0,,"{'#': {'string': '8mg', 'type': 'measurement', 'number_string': (None, '8.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}, '##': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", alkemvert <v>#<v> tablet <v>##<v> ,solid,,,8.0,mg,10.0,pack_size,ALKEMVERT 8MG Tablet (10'S),ALKEMVERT 8MG Tablet (10'S),ATQW01,,ATQW01,2023-03-23 11:09:32,,8.0,10.0,,,,,,,,,
,alkemvert,tablet,0,,"{'#': {'string': '16mg', 'type': 'measurement', 'number_string': (None, '16.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}, '##': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", alkemvert <v>#<v> tablet <v>##<v> ,solid,,,16.0,mg,10.0,pack_size,ALKEMVERT 16MG Tablet (10'S),ALKEMVERT 16MG Tablet (10'S),ATQW11,,ATQW11,2023-03-23 11:09:32,,16.0,10.0,,,,,,,,,
,kemobrim eye t,drops,0,5.0,"{'#': {'string': '5 ml', 'type': 'measurement', 'number_string': (None, '5.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", kemobrim t eye drops <v>#<v> ,liquid,,,,,5.0,ml,KEMOBRIM-T EYE DROPS (5ML),KEMOBRIM-T EYE DROPS (5ML),AERF01,,AERF01,2023-03-23 11:09:32,,,,,,,,,,,,
,kemphylline,injection,0,2.0,"{'#': {'string': '2 ml', 'type': 'measurement', 'number_string': (None, '2.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", kemphylline injection <v>#<v> ,liquid,,,,,2.0,ml,KEMPHYLLINE INJECTION (2ML),KEMPHYLLINE INJECTION (2ML),AIRZ01,,AIRZ01,2023-03-23 11:09:32,,,,,,,,,,,,
,cachzyme,syrup,0,200.0,"{'#': {'string': '200 ml', 'type': 'measurement', 'number_string': (None, '200.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None, 'context': {'before': ['<attr>', '<v>##<v>', '<pack>'], 'after': []}}, '##': {'string': '+', 'type': 'symbols', 'number_string': ('+',), 'context': {'before': ['<attr>'], 'after': ['<pack>', '<v>#<v>']}}}", cachzyme  <v>##<v>  syrup <v>#<v> ,liquid,,,,,200.0,ml,CACHZYME+ SYRUP (200 ML),CACHZYME+ SYRUP (200 ML),DL00000002,,DL00000002,2023-03-23 11:09:32,,,,+,,,,,,,,
alkemzyme,digestive,tablet,1,,"{'#': {'string': '15 s', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> digestive tablet <v>#<v> ,solid,,,,,15.0,pack_size,ALKEMZYME DIGESTIVE Tablet (15'S),ALKEMZYME DIGESTIVE Tablet (15'S),DT00000008,,DT00000008,2023-03-23 11:09:32,,,15.0,,,,,,,,,
metron,iv,infusion,1,100.0,"{'#': {'string': '100 ml', 'type': 'measurement', 'number_string': (None, '100.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", <group> iv infusion <v>#<v> ,liquid,,,,,100.0,ml,METRON IV INFUSION (100 ML),METRON IV INFUSION (100 ML),FI2103,,FI2103,2023-03-23 11:09:32,,,,,,,,,,,,
,dextrose alkem iv s,infusion,0,100.0,"{'#': {'string': '100 ml', 'type': 'measurement', 'number_string': (None, '100.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", alkem s dextrose iv infusion <v>#<v> ,liquid,,,,,100.0,ml,ALKEM'S DEXTROSE IV INFUSION (100 ML),ALKEM'S DEXTROSE IV INFUSION (100 ML),FIXR01,,FIXR01,2023-03-23 11:09:32,,,,,,,,,,,,
lincef,novo iv,infusion,1,300.0,"{'#': {'string': '300 ml', 'type': 'measurement', 'number_string': (None, '300.0'), 'amount_suffix': (None, 'ml'), 'amount_separator': None}}", <group> novo iv infusion <v>#<v> ,liquid,,,,,300.0,ml,LINCEF NOVO IV INFUSION (300ML),LINCEF NOVO IV INFUSION (300ML),FIYD01,,FIYD01,2023-03-23 11:09:32,,,,,,,,,,,,
,derrim sales other kit grp,,0,,"{'#': {'string': '1 s', 'type': 'measurement', 'number_string': (None, '1.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", derrim kit sales <v>#<v> other grp ,,,,,,1.0,pack_size,DERRIM KIT (SALES) (1'S) OTHER GRP,DERRIM KIT (SALES) (1'S) OTHER GRP,FRIU01,,FRIU01,2023-03-23 11:09:32,,,1.0,,,,,,,,,
aldigesic,relief pain max,spray,1,,"{'#': {'string': '35 gm', 'type': 'measurement', 'number_string': (None, '35.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<attr>', '<attr>', '<pack>'], 'after': []}}}", <group> max pain relief spray <v>#<v> ,liquid,,,,,35.0,gm,ALDIGESIC MAX PAIN RELIEF SPRAY (35GM),ALDIGESIC MAX PAIN RELIEF SPRAY (35GM),AAAI11,,AAAI11,2023-03-23 11:09:32,,,,,,,,35.0,,,,
aldigesic,relief pain max,spray,1,,"{'#': {'string': '55 gm', 'type': 'measurement', 'number_string': (None, '55.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>', '<attr>', '<attr>', '<attr>', '<pack>'], 'after': []}}}", <group> max pain relief spray <v>#<v> ,liquid,,,,,55.0,gm,ALDIGESIC MAX PAIN RELIEF SPRAY (55GM),ALDIGESIC MAX PAIN RELIEF SPRAY (55GM),AAAI12,,AAAI12,2023-03-23 11:09:32,,,,,,,,55.0,,,,
kofclear,cofgels,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> cofgels <v>#<v> capsule ,solid,,,,,10.0,pack_size,KOFCLEAR COFGELS (10'S) CAPSULE,KOFCLEAR COFGELS (10'S) CAPSULE,AC2601,,AC2601,2023-03-23 11:09:32,,,10.0,,,,,,,,,
aldryl,,tablet,1,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> softgel <v>#<v> capsule ,solid,softgel,,,,10.0,pack_size,ALDRYL SOFTGEL  (10S) CAPSULE,ALDRYL SOFTGEL  (10S) CAPSULE,AC4501,,AC4501,2023-03-23 11:09:32,,,10.0,,,,,,,,,
ultivit,,tablet,1,,"{'#': {'string': '15 s', 'type': 'measurement', 'number_string': (None, '15.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> capsule <v>#<v> ,solid,,,,,15.0,pack_size,ULTIVIT CAPSULE (15'S),ULTIVIT CAPSULE (15'S),AC7402,,AC7402,2023-03-23 11:09:32,,,15.0,,,,,,,,,
ultivit,,tablet,1,,"{'#': {'string': '5g', 'type': 'measurement', 'number_string': (None, '5.0'), 'amount_suffix': (None, 'gm'), 'amount_separator': None, 'context': {'before': ['<group>'], 'after': ['<pack>', '<v>##<v>']}}, '##': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None, 'context': {'before': ['<group>', '<v>#<v>', '<pack>'], 'after': []}}}", <group> <v>#<v> capsule <v>##<v> ,solid,,,5.0,gm,10.0,pack_size,ULTIVIT 5G CAPSULE (10'S),ULTIVIT 5G CAPSULE (10'S),AC7421,,AC7421,2023-03-23 11:09:32,,,10.0,,,,,5.0,,,,
ampikem,,tablet,1,,"{'#': {'string': '250mg', 'type': 'measurement', 'number_string': (None, '250.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}, '##': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> <v>#<v> capsule <v>##<v> ,solid,,,250.0,mg,10.0,pack_size,AMPIKEM 250MG CAPSULE (10'S),AMPIKEM 250MG CAPSULE (10'S),ACBU02,,ACBU02,2023-03-23 11:09:32,,250.0,10.0,,,,,,,,,
ampikem,,tablet,1,,"{'#': {'string': '500mg', 'type': 'measurement', 'number_string': (None, '500.0'), 'amount_suffix': (None, 'mg'), 'amount_separator': None}, '##': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", <group> <v>#<v> capsule <v>##<v> ,solid,,,500.0,mg,10.0,pack_size,AMPIKEM 500MG CAPSULE (10'S),AMPIKEM 500MG CAPSULE (10'S),ACBU11,,ACBU11,2023-03-23 11:09:32,,500.0,10.0,,,,,,,,,
,softgels air go,tablet,0,,"{'#': {'string': '10 s', 'type': 'measurement', 'number_string': (None, '10.0'), 'amount_suffix': (None, 'pack_size'), 'amount_separator': None}}", go air softgels <v>#<v> capsule ,solid,,,,,10.0,pack_size,GO-AIR SOFTGELS  (10S) CAPSULE,GO-AIR SOFTGELS  (10S) CAPSULE,ACDE01,,ACDE01,2023-03-23 11:09:32,,,10.0,,,,,,,,,
